Na,,O2,,SiO,,K,,O,,SiO2,,Mg,,MgO,,KO,,CrO,,Fe,,FeO,,NaO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1899.1202007097,-0.131341010493281,1899.1202007097,-0.718765353097882,2053.94405931247,-2.16911659894598,1900.80306873799,-1.38103745592209,1900.80306873799,-1.80696732491675,2250.2786626131,-2.8057758429455,2069.42644517275,-2.73783074362426,2532.06556468361,-2.9122001140213,2634.53352907289,-3.52053776318252,2216.62130204728,-2.71308276946089,1887.09971479333,-2.3449197105255,1899.49417138265,-2.67700458584639,2039.30310746634,-3.06709177633081
1917.6317490209,-0.13184730780566,1917.6317490209,-0.718799444347074,2080.02851375099,-2.08535297921277,1919.31461704919,-1.37894661988694,1919.31461704919,-1.78433552513296,2269.91212294316,-2.76194930379497,2090.40619992545,-2.68630185490631,2551.02120316895,-2.87428801920501,2650.64098020082,-3.50724447021397,2236.25476237734,-2.66319625249946,1903.04689277571,-2.31283531921351,1920.62351440453,-2.63462365340402,2058.99266339735,-3.03570272351804
1936.1432973321,-0.131881399054852,1936.1432973321,-0.718833535596266,2105.27153417535,-2.00696523470894,1937.82616536039,-1.37850850507295,1937.82616536039,-1.76193982838077,2287.38189580828,-2.72446732813583,2110.03966025551,-2.64045532315215,2569.86331484285,-2.83963243808452,2677.44666379431,-3.48588603694915,2257.01013472626,-2.60898324609513,1922.68035310577,-2.27218305415441,1938.94807737925,-2.59829753343176,2074.88641699788,-3.00860637881942
1954.6548456433,-0.133332108493605,1954.6548456433,-0.720520348066613,2132.19742262801,-1.92325962291096,1956.33771367159,-1.37854259632214,1956.33771367159,-1.74001633769177,2309.40342600706,-2.67568177650653,2128.15853936011,-2.59847284509806,2590.21800432789,-2.80091904518184,2701.42753319746,-3.46736069717805,2276.64359505633,-2.56111672173733,1943.80969612765,-2.22807069948035,1955.07556265038,-2.56965055342899,2099.38149607633,-2.96943215254759
1973.1663939545,-0.134782817932358,1973.1663939545,-0.721498851442178,2159.12331108067,-1.84612843265146,1974.8492619828,-1.37645176028699,1974.8492619828,-1.71903725912914,2327.19975540624,-2.63851061539048,2146.02098143183,-2.55910351786731,2609.29050864853,-2.76823750357963,2716.71358445444,-3.4576495982321,2293.54239484041,-2.52157763066226,1960.90549831981,-2.19664801292,1974.8492619828,-2.53285817536172,2115.3687423451,-2.94490687970436
1991.67794226571,-0.137177939497485,1991.67794226571,-0.723185663912525,2184.36633150503,-1.77567921719804,1993.360810294,-1.37601364547299,1993.360810294,-1.69805818056651,2345.71130371744,-2.60121091476895,2164.0784224973,-2.51877814508941,2629.06420798095,-2.73451118571431,2740.55421485523,-3.43974967322768,2312.54477965987,-2.47663171911876,1978.96293938528,-2.16234139361416,1997.66147303296,-2.49250033472746,2135.56315868459,-2.91377846998768
2010.18949057691,-0.137212030746676,2010.18949057691,-0.724164167288091,2209.6093519294,-1.71111745341037,2011.8723586052,-1.37486722156422,2011.8723586052,-1.67707910200388,2364.55341539134,-2.56470023840023,2183.52489749089,-2.4778730365988,2648.41719030629,-2.70013480971099,2755.98050511456,-3.42958630173823,2332.17823998993,-2.43165089848044,1999.71831173421,-2.1242883280389,2016.19973353509,-2.46054438822304,2159.54402808774,-2.87876133345977
2028.70103888811,-0.139134946248616,2028.70103888811,-0.724198258537282,2236.53524038205,-1.64039515696177,2030.3839069164,-1.37348469462385,2030.3839069164,-1.65704443556763,2382.85126617514,-2.5278381528292,2202.03644580209,-2.43992405264039,2668.00390430224,-2.66860849657571,2780.94304753421,-3.41338051459654,2349.94184695523,-2.3921494713486,2018.8141892219,-2.0899475498425,2031.10513607138,-2.43645560009274,2173.7642629268,-2.85827016829209
2047.21258719931,-0.14129396478215,2047.21258719931,-0.724232349786474,2263.46112883471,-1.5722699938607,2048.8954552276,-1.37351878587304,2048.8954552276,-1.63748197519456,2402.11075583225,-2.492668036125,2221.38942812744,-2.40067805161045,2687.26339395935,-2.63834407619461,2805.76535095151,-3.39678096413516,2369.20133661233,-2.35207365832129,2034.17035998005,-2.06432913827646,2054.78549332662,-2.39783902535389,2195.30497368892,-2.82747478218322
2065.72413551051,-0.142744674220902,2065.72413551051,-0.725446956193634,2290.38701728737,-1.5062550016045,2067.4070035388,-1.37355287712223,2067.4070035388,-1.61744730875831,2421.37024548936,-2.4569207786769,2241.16312745986,-2.36208210871851,2706.17562513443,-2.60985166286567,2822.17331422735,-3.38772121466242,2389.5827382883,-2.30795992622302,2054.78549332662,-2.0287863766701,2075.82134368026,-2.36496500280565,2212.13365397183,-2.80426274245107
2084.23568382171,-0.145375898817623,2084.23568382171,-0.727369871695573,2317.31290574003,-1.44299946353005,2085.91855185001,-1.37358696837142,2085.91855185001,-1.59859315748002,2443.43451519362,-2.41656156061842,2260.93682679228,-2.3260832991741,2725.82911960768,-2.57951067245663,2844.89203260927,-3.37524959324833,2408.84222794541,-2.27134695765908,2075.82134368026,-1.99404714017228,2095.34261280844,-2.33558251584098,2235.27308936084,-2.77371689708611
2102.74723213292,-0.14777102038275,2102.74723213292,-0.729528890229107,2342.17345615796,-1.38846117761595,2104.43010016121,-1.37480157477858,2104.43010016121,-1.57997510923333,2462.69400485073,-2.3837000068898,2280.7105261247,-2.28975984796125,2745.6028189401,-2.5513032629548,2861.48030317386,-3.36590347929484,2428.10171760252,-2.23415684835124,2112.62005789889,-1.93303737290219,2110.95121377083,-2.31184749083257,2248.31531658009,-2.75491169915119
2121.25878044412,-0.149221729821502,2121.25878044412,-0.729562981478298,2371.16468264534,-1.3224942582473,2122.94164847241,-1.37625228421734,2122.94164847241,-1.56182926704982,2481.95349450784,-2.35083845316117,2301.74637647833,-2.25311407948331,2768.22804465379,-2.51931361875096,2886.12229930241,-3.35277768424072,2446.89374391844,-2.19721837722872,2131.35598861386,-1.90724985387415,2133.24921514569,-2.27974903011616,2270.19260094788,-2.72729251865815
2139.77032875532,-0.15232516048141,2139.77032875532,-0.72959707272749,2398.090571098,-1.26703012021543,2141.45319678361,-1.37628637546653,2141.45319678361,-1.54368342486631,2500.32480381668,-2.32100525264675,2321.70706114723,-2.21895525041612,2787.04344413677,-2.49391800555086,2910.10316870555,-3.34048546450368,2466.66744325086,-2.16154420935275,2149.86753692507,-1.87707640149868,2148.60538590385,-2.25802631857142,2294.17347035102,-2.69785921882743
2158.28187706652,-0.154248075983349,2158.28187706652,-0.729631163976682,2425.01645955065,-1.21416311553109,2159.96474509481,-1.37632046671572,2159.96474509481,-1.52600978874599,2520.51922015617,-2.28792899291942,2340.99326299526,-2.18733047604671,2806.18606795858,-2.47025441720553,2925.42928824892,-3.33411361079514,2486.44114258328,-2.12716860815055,2168.37908523627,-1.85887339829458,2168.37908523627,-2.23220945226448,2311.42286764101,-2.67681879010355
2176.79342537772,-0.15758760967485,2176.79342537772,-0.729665255225874,2451.94234800331,-1.16259467752052,2178.47629340601,-1.37635455796491,2178.47629340601,-1.50928056475205,2540.29291948859,-2.2579212978017,2360.01568195791,-2.15745209724805,2825.959767291,-2.44431949938279,2949.22985036332,-3.32231856181706,2505.51364690391,-2.0957856332221,2185.58173619213,-1.83115454968432,2184.99740701564,-2.20874780526509,2328.92469513523,-2.65597951383719
2195.30497368892,-0.159982731239977,2195.30497368892,-0.729699346475066,2478.86823645597,-1.11378569369169,2196.98784171722,-1.37851357649845,2196.98784171722,-1.49231523772651,2561.95984535284,-2.22405090214666,2379.78938129033,-2.12794612107246,2845.10239111281,-2.42130519437435,2965.8181209279,-3.31526602017048,2523.88495621275,-2.06652957345157,2207.2954083905,-1.80460999251524,2207.2954083905,-2.18086968623841,2346.76309623512,-2.63569701121948
2213.81652200013,-0.163558367963071,2213.81652200013,-0.730677849850632,2505.79412490862,-1.06643759737085,2215.49939002842,-1.37901987381083,2215.49939002842,-1.47534991070097,2581.73354468526,-2.19551885097639,2399.11899044862,-2.09991825020748,2861.72071289219,-2.40055873223828,2988.77724902816,-3.30517948211899,2543.32208193952,-2.03410120241912,2222.79181815101,-1.78505181702714,2220.88456771895,-2.16544176889673,2369.90253162412,-2.61067007421802
